Contiguous U.S., Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -99
Date,Value
201001,3
201002,2
201003,7
201004,35
201005,127
201006,282
201007,375
201008,351
201009,194
201010,53
201011,13
201012,2
201101,5
201102,8
201103,24
201104,53
201105,105
201106,259
201107,404
201108,349
201109,174
201110,48
201111,17
201112,10
201201,11
201202,12
201203,48
201204,47
201205,154
201206,232
201207,402
201208,327
201209,172
201210,53
201211,12
201212,10
201301,14
201302,10
201303,10
201304,32
201305,98
201306,243
201307,337
201308,286
201309,175
201310,54
201311,16
201312,12
201401,6
201402,11
201403,14
201404,35
201405,111
201406,240
201407,298
201408,289
201409,179
201410,71
201411,9
201412,9
201501,8
201502,6
201503,28
201504,51
201505,123
201506,252
201507,333
201508,312
201509,220
201510,73
201511,27
201512,24
201601,6
201602,10
201603,33
201604,40
201605,94
201606,268
201607,381
201608,360
201609,216
201610,82
201611,23
201612,15
201701,15
201702,20
201703,29
201704,53
201705,102
201706,237
201707,359
201708,287
201709,180
201710,74
201711,25
201712,9
201801,6
201802,21
201803,19
201804,30
201805,171
201806,265
201807,372
201808,348
201809,226
201810,65
201811,15
201812,9
201901,7
