Contiguous U.S., Heating Degree Days
Units: Fahrenheit Degree-Days
Missing: -99
Date,Value
201001,930
201002,811
201003,552
201004,272
201005,141
201006,31
201007,6
201008,9
201009,52
201010,238
201011,527
201012,904
201101,957
201102,744
201103,583
201104,315
201105,157
201106,38
201107,7
201108,9
201109,57
201110,257
201111,473
201112,727
201201,765
201202,632
201203,381
201204,293
201205,98
201206,31
201207,4
201208,8
201209,60
201210,263
201211,543
201212,702
201301,833
201302,738
201303,664
201304,349
201305,136
201306,26
201307,5
201308,11
201309,59
201310,259
201311,576
201312,835
201401,980
201402,807
201403,690
201404,328
201405,128
201406,27
201407,10
201408,13
201409,57
201410,222
201411,620
201412,712
201501,900
201502,879
201503,592
201504,303
201505,119
201506,24
201507,6
201508,11
201509,31
201510,230
201511,448
201512,585
201601,881
201602,636
201603,455
201604,314
201605,152
201606,20
201607,5
201608,6
201609,38
201610,199
201611,423
201612,793
201701,775
201702,554
201703,551
201704,250
201705,156
201706,24
201707,5
201708,15
201709,44
201710,194
201711,498
201712,810
201801,910
201802,634
201803,619
201804,419
201805,86
201806,26
201807,3
201808,6
201809,37
201810,257
201811,603
201812,741
201901,874
