Contiguous U.S., Palmer Drought Severity Index (PDSI)
Missing: -99
Date,Value
201001,4.65
201002,4.30
201003,3.42
201004,2.73
201005,2.90
201006,3.03
201007,3.48
201008,3.12
201009,2.96
201010,2.36
201011,1.97
201012,1.72
201101,1.06
201102,1.02
201103,1.16
201104,1.85
201105,2.32
201106,-0.38
201107,-0.82
201108,-1.53
201109,-1.58
201110,-1.54
201111,-1.57
201112,-1.89
201201,-2.31
201202,-2.38
201203,-2.72
201204,-3.11
201205,-3.57
201206,-4.12
201207,-4.79
201208,-5.11
201209,-4.99
201210,-4.43
201211,-5.23
201212,-5.27
201301,-5.31
201302,-4.90
201303,-5.18
201304,0.58
201305,0.88
201306,1.08
201307,1.73
201308,1.69
201309,1.84
201310,1.85
201311,1.59
201312,1.43
201401,0.72
201402,1.00
201403,0.81
201404,1.06
201405,0.75
201406,1.33
201407,1.27
201408,1.79
201409,1.67
201410,1.53
201411,1.44
201412,1.42
201501,-0.15
201502,-0.29
201503,-1.06
201504,0.09
201505,1.47
201506,1.70
201507,2.23
201508,1.99
201509,1.09
201510,1.38
201511,2.09
201512,3.50
201601,3.60
201602,-0.31
201603,-0.48
201604,0.26
201605,0.40
201606,-0.70
201607,-0.82
201608,-0.09
201609,-0.07
201610,-0.17
201611,-1.18
201612,-1.40
201701,-0.91
201702,-0.92
201703,-1.23
201704,0.67
201705,1.00
201706,0.94
201707,0.89
201708,1.69
201709,-0.31
201710,0.30
201711,-0.72
201712,-1.54
201801,-2.30
201802,-1.67
201803,-1.68
201804,-1.27
201805,-1.72
201806,-1.64
201807,-1.80
201808,0.06
201809,0.80
201810,1.92
201811,2.56
201812,3.68
201901,4.17
