Contiguous U.S., Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,30.67
201002,31.80
201003,43.57
201004,53.24
201005,59.88
201006,70.48
201007,74.71
201008,74.05
201009,66.49
201010,56.14
201011,42.31
201012,32.47
201101,29.71
201102,33.04
201103,43.07
201104,51.96
201105,59.13
201106,69.82
201107,76.14
201108,75.00
201109,66.09
201110,55.09
201111,43.75
201112,35.40
201201,36.12
201202,37.51
201203,50.41
201204,54.68
201205,63.45
201206,70.54
201207,76.77
201208,73.80
201209,66.31
201210,53.89
201211,44.01
201212,35.92
201301,32.25
201302,34.77
201303,40.91
201304,49.68
201305,60.85
201306,70.39
201307,74.21
201308,72.99
201309,66.96
201310,53.44
201311,41.61
201312,31.06
201401,30.56
201402,32.13
201403,40.51
201404,51.69
201405,61.27
201406,69.58
201407,73.29
201408,72.25
201409,66.20
201410,56.93
201411,39.25
201412,36.81
201501,33.08
201502,32.99
201503,45.39
201504,53.24
201505,60.84
201506,71.37
201507,73.92
201508,72.95
201509,68.54
201510,57.24
201511,44.60
201512,38.66
201601,32.22
201602,39.47
201603,47.50
201604,53.19
201605,60.33
201606,71.76
201607,75.22
201608,73.53
201609,67.12
201610,57.72
201611,47.97
201612,32.95
201701,33.57
201702,41.18
201703,46.15
201704,53.80
201705,60.57
201706,70.36
201707,75.70
201708,72.01
201709,66.27
201710,55.69
201711,45.03
201712,34.29
201801,32.16
201802,35.51
201803,42.73
201804,49.01
201805,65.52
201806,71.55
201807,75.45
201808,73.51
201809,67.53
201810,53.71
201811,40.03
201812,35.51
201901,32.54
