Contiguous U.S., Precipitation
Units: Inches
Missing: -99
Date,Value
201001,2.62
201002,2.01
201003,2.30
201004,2.38
201005,3.32
201006,3.49
201007,3.32
201008,2.51
201009,2.78
201010,1.97
201011,2.22
201012,2.45
201101,1.65
201102,1.98
201103,2.91
201104,3.42
201105,3.43
201106,2.58
201107,2.44
201108,2.34
201109,2.48
201110,2.14
201111,2.47
201112,2.26
201201,2.09
201202,1.85
201203,2.87
201204,2.23
201205,2.50
201206,2.24
201207,2.51
201208,2.47
201209,2.34
201210,2.23
201211,1.32
201212,2.88
201301,2.37
201302,2.02
201303,1.72
201304,2.90
201305,3.35
201306,3.34
201307,3.34
201308,2.56
201309,2.98
201310,2.23
201311,2.04
201312,2.21
201401,1.37
201402,2.25
201403,2.37
201404,2.88
201405,2.81
201406,3.67
201407,2.60
201408,3.13
201409,2.64
201410,2.42
201411,2.13
201412,2.58
201501,1.83
201502,1.74
201503,2.13
201504,2.83
201505,4.44
201506,3.55
201507,3.23
201508,2.41
201509,2.12
201510,2.90
201511,3.35
201512,4.06
201601,2.04
201602,1.93
201603,2.92
201604,3.00
201605,3.07
201606,2.48
201607,2.92
201608,3.47
201609,2.73
201610,2.39
201611,1.75
201612,2.72
201701,3.24
201702,2.25
201703,2.59
201704,3.50
201705,3.36
201706,3.07
201707,2.80
201708,3.42
201709,2.27
201710,2.60
201711,1.62
201712,1.59
201801,1.85
201802,2.88
201803,2.47
201804,2.46
201805,3.02
201806,3.16
201807,2.86
201808,2.98
201809,3.57
201810,3.43
201811,2.71
201812,3.25
201901,2.56
