Contiguous U.S., Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,21.31
201002,22.44
201003,32.02
201004,40.33
201005,47.75
201006,58.39
201007,62.44
201008,61.27
201009,53.19
201010,42.84
201011,30.81
201012,22.91
201101,19.36
201102,21.67
201103,31.84
201104,39.72
201105,47.05
201106,56.93
201107,63.36
201108,61.65
201109,52.74
201110,42.35
201111,32.40
201112,25.27
201201,24.67
201202,26.96
201203,37.96
201204,41.72
201205,50.23
201206,56.88
201207,63.55
201208,60.21
201209,52.54
201210,41.70
201211,32.09
201212,26.02
201301,21.79
201302,24.08
201303,29.10
201304,37.26
201305,48.18
201306,57.78
201307,61.99
201308,60.58
201309,54.72
201310,41.54
201311,30.74
201312,20.61
201401,18.68
201402,21.24
201403,28.18
201404,38.80
201405,48.45
201406,57.36
201407,60.78
201408,60.26
201409,54.12
201410,44.46
201411,28.22
201412,28.26
201501,22.89
201502,21.58
201503,33.03
201504,40.62
201505,49.12
201506,59.07
201507,61.84
201508,60.10
201509,55.74
201510,45.37
201511,33.96
201512,29.25
201601,22.59
201602,28.11
201603,35.51
201604,40.80
201605,48.15
201606,58.60
201607,62.53
201608,61.23
201609,54.84
201610,45.55
201611,36.36
201612,23.27
201701,24.35
201702,30.20
201703,34.48
201704,41.68
201705,47.86
201706,57.45
201707,62.85
201708,59.76
201709,53.76
201710,42.93
201711,33.87
201712,23.74
201801,21.16
201802,24.37
201803,31.44
201804,36.19
201805,52.63
201806,58.93
201807,62.69
201808,61.07
201809,55.72
201810,43.03
201811,29.88
201812,26.26
201901,22.80
